2022-05-16 20:05:455 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:515 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-16 20:05:256 INFO  LoginPage :46 - Getting text from : [[ChromeDriver: chrome on WINDOWS (6e8a12d9cc354c90374de76242059d01)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-16 20:05:87 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:658 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-16 20:05:583 INFO  LoginPage :46 - Getting text from : [[ChromeDriver: chrome on WINDOWS (93e9934336bea27c5025a0e14319c152)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-16 20:05:771 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:983 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-16 20:05:876 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (ef6ba6deecd0fcb7e845e7d054379ccb)] -> id: Email]
2022-05-16 20:05:987 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (ef6ba6deecd0fcb7e845e7d054379ccb)] -> name: Password]
2022-05-16 20:05:523 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ef6ba6deecd0fcb7e845e7d054379ccb)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:614 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (ef6ba6deecd0fcb7e845e7d054379ccb)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 20:05:662 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:737 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-16 20:05:449 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (a50cc5ba775a0c717a9aea9b4b7f74c9)] -> id: Email]
2022-05-16 20:05:561 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (a50cc5ba775a0c717a9aea9b4b7f74c9)] -> name: Password]
2022-05-16 20:05:109 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a50cc5ba775a0c717a9aea9b4b7f74c9)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:212 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a50cc5ba775a0c717a9aea9b4b7f74c9)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 20:05:262 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:56 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-16 20:05:857 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (304ba992a38ef5d9874a1f7233ebb027)] -> id: Email]
2022-05-16 20:05:958 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (304ba992a38ef5d9874a1f7233ebb027)] -> name: Password]
2022-05-16 20:05:454 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (304ba992a38ef5d9874a1f7233ebb027)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 20:05:556 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (304ba992a38ef5d9874a1f7233ebb027)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:894 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:63 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:822 INFO  LoginPage :46 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a53cd560377d303224f6416ac4a45ef5)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 22:05:71 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:392 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:342 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (e7331a9db9a6a9b2a098ebc925bb2e6e)] -> id: Email]
2022-05-17 22:05:441 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (e7331a9db9a6a9b2a098ebc925bb2e6e)] -> name: Password]
2022-05-17 22:05:883 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e7331a9db9a6a9b2a098ebc925bb2e6e)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:941 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (e7331a9db9a6a9b2a098ebc925bb2e6e)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:990 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:04 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:698 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (4f1fc47bd214929f1ce4fb41e2f59694)] -> id: Email]
2022-05-17 22:05:783 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (4f1fc47bd214929f1ce4fb41e2f59694)] -> name: Password]
2022-05-17 22:05:238 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4f1fc47bd214929f1ce4fb41e2f59694)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:316 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4f1fc47bd214929f1ce4fb41e2f59694)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:262 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:166 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:881 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (39a7fcb9456a43181756630efa6aba08)] -> id: Email]
2022-05-17 22:05:962 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (39a7fcb9456a43181756630efa6aba08)] -> name: Password]
2022-05-17 22:05:391 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (39a7fcb9456a43181756630efa6aba08)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:454 INFO  LoginPage :67 - Getting text from : [[ChromeDriver: chrome on WINDOWS (39a7fcb9456a43181756630efa6aba08)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 22:05:477 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:234 INFO  HomePage :44 - Clicking on login link Log in<br>
2022-05-17 22:05:944 INFO  LoginPage :52 - Sending text to email field : [[ChromeDriver: chrome on WINDOWS (1551e7c94ad344c9519b2e5940daa445)] -> id: Email]
2022-05-17 22:05:35 INFO  LoginPage :57 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (1551e7c94ad344c9519b2e5940daa445)] -> name: Password]
2022-05-17 22:05:472 INFO  LoginPage :62 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1551e7c94ad344c9519b2e5940daa445)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 22:05:511 INFO  LoginPage :78 - verify sign Out Link Proxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Log out']'
2022-05-17 22:05:782 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-17 22:05:332 INFO  HomePage :44 - Clicking on login link Log in<br>
